Rank	Crime Index  State / Population
1.	950	Vermont / 626,358
2.	956	New Hampshire / 1,321,069
3.	985	North Dakota / 704,925
4.	1,017	Maine / 1,328,535
5.	1,042	South Dakota / 834,708
6.	1,068	Idaho / 1,599,464
7.	1,125	Virginia / 8,185,131
8.	1,136	Wyoming / 575,251
9.	1,171	Connecticut / 3,592,053
10.	1,180	New Jersey / 8,874,374
11.	1,194	New York / 19,594,330
12.	1,203	Iowa / 3,078,116
13.	1,227	Wisconsin / 5,724,692
14.	1,230	Montana / 1,006,370
15.	1,235	West Virginia / 1,853,881
16.	1,268	Rhode Island / 1,053,252
17.	1,298	Minnesota / 5,383,661
18.	1,305	Kentucky / 4,383,272
19.	1,335	Pennsylvania / 12,758,729
20.	1,368	Massachusetts / 6,657,291
21.	1,390	Nebraska / 1,855,617
22.	1,405	Utah / 2,858,111
23.	1,497	Oregon / 3,900,343
24.	1,526	Colorado / 5,197,580
25.	1,584	Mississippi / 2,984,345
26.	1,599	Indiana / 6,542,411
27.	1,608	Hawaii / 1,392,704
28.	1,616	Illinois / 12,868,747
29.	1,670	Kansas / 2,882,946
30.	1,691	Ohio / 11,560,380
31.	1,701	California / 38,066,920
32.	1,757	Michigan / 9,889,024
33.	1,855	Washington / 6,899,123
34.	1,858	Missouri / 6,028,076
35.	1,869	North Carolina / 9,750,405
36.	1,884	Maryland / 5,887,776
37.	1,911	Georgia / 9,907,756
38.	1,938	Oklahoma / 3,818,851
39.	1,941	Alabama / 4,817,678
40.	1,962	Texas / 26,092,033
41.	1,974	Delaware / 917,060
42.	1,986	Alaska / 728,300
43.	2,025	Arizona / 6,561,516
44.	2,065	Arkansas / 2,947,036
45.	2,095	Florida / 19,361,792
46.	2,167	Louisiana / 4,601,049
47.	2,180	Nevada / 2,761,584
48.	2,194	Tennessee / 6,451,365
49.	2,241	New Mexico / 2,080,085
50.	2,253	South Carolina / 4,727,273
51.	3,747	District of Columbia / 633,736
